data,concessoes_milhoes,inadimplencia_nao_consignado_pct,juros_nao_consignado_pct_mes,saldo_nao_consignado_milhoes,inadimplencia_consignado_pct,selic_pct_mes,ipca_pct_mes,concessoes_media_movel_3m,concessoes_var_12m_pct_mm3,concessoes_media_movel_6m,concessoes_var_12m_pct_mm6,concessoes_var_12m_pct,saldo_var_12m_pct,inadimplencia_var_12m_pp,diferencial_inadimplencia_pp,premio_sobre_selic_pp,indice_precos_ipca,concessoes_reais_milhoes,saldo_real_milhoes,concessoes_reais_media_movel_3m,concessoes_reais_var_12m_pct_mm3,concessoes_reais_media_movel_6m,concessoes_reais_var_12m_pct_mm6,concessoes_reais_var_12m_pct,saldo_real_var_12m_pct,limite_neutro_concessoes_pct,limite_neutro_inadimplencia_pp,janela_media_movel_meses,percentil_neutro,modo_limite,movimento_concessoes_real,movimento_inadimplencia,cenario_principal
2014-08-01,6840,7.51,5.95,103032,2.58,0.87,0.25,6798.666666666667,-3.350234563806087,6843.5,-5.669783362815595,-3.350234563806087,7.066256546678851,0.1299999999999999,4.93,5.08,1.2217903481166197,12759.74694036227,192202.08285956222,12704.129281882671,-9.25937314023939,12852.960024871747,-11.342854014085413,-9.25937314023939,0.5194832197021659,4.2839669493222114,0.4519999999999998,3,0.2,expanding,Queda,Estavel,Transicao/estabilidade
2014-09-01,7344,7.41,5.78,103502,2.59,0.91,0.57,7030.0,0.533892649442258,6967.0,-3.2831262580689913,0.533892649442258,6.298719304912237,0.14000000000000057,4.82,4.87,1.2287545531008846,13622.29175716261,191984.53723445596,13099.037723788373,-5.6928247534000835,13033.416651682697,-9.196562994998725,-5.6928247534000835,-0.41943462078578575,4.361056768560426,0.4359999999999996,3,0.2,expanding,Queda,Estavel,Transicao/estabilidade
2014-10-01,7458,7.55,6.1,103876,2.49,0.95,0.42,7214.0,2.978682908260377,7046.333333333333,-0.9465348390422235,2.978682908260377,5.600455437290952,0.5,5.06,5.1499999999999995,1.2339153222239083,13775.890161772455,191872.40097134293,13385.976286432446,-3.4242789243169924,13134.222835850882,-7.05067326925175,-3.4242789243169924,-0.9257987016479952,4.43814658779864,0.41999999999999993,3,0.2,expanding,Estavel,Alta,Deterioracao do risco
2014-11-01,6473,7.5,6.1,103660,2.42,0.84,0.51,7091.666666666667,4.3864383494431,6945.166666666667,0.45077620287339304,4.3864383494431,4.546554784573176,0.46999999999999975,5.08,5.26,1.2402082903672504,11895.79924593651,190501.86155318687,13097.993721623856,-2.091416057991946,12901.061501753264,-5.75691077680397,-2.091416057991946,-1.8852905162940692,4.050357488930597,0.4239999999999998,3,0.2,expanding,Estavel,Alta,Deterioracao do risco
2014-12-01,7215,7.65,6.03,102599,2.37,0.96,0.78,7048.666666666667,4.383453450488695,7039.333333333333,2.4250654767678625,4.383453450488695,5.202768520892076,0.4800000000000004,5.28,5.07,1.249881915032115,13156.791756177594,187092.678779219,12942.827054628853,-2.0140225838675585,13020.932389208612,-3.89964189188583,-2.0140225838675585,-1.1322949559804063,3.4242789243169924,0.42799999999999977,3,0.2,expanding,Estavel,Alta,Deterioracao do risco
2015-01-01,7072,7.88,6.27,103564,2.37,0.94,1.24,6920.0,3.011958517342328,7067.0,2.9949719449100076,3.011958517342328,4.888744847422943,0.8300000000000001,5.51,5.33,1.2653804507785131,12738.074391706108,186539.3009477731,12596.888464606736,-3.462403404660619,12991.432375519593,-3.4427660127215876,-3.462403404660619,-2.0992291688853637,3.2644464620000524,0.43199999999999966,3,0.2,expanding,Queda,Alta,Aperto com deterioração
2015-02-01,6281,7.79,6.3,104265,2.42,0.82,1.22,6856.0,1.5302596505084365,6973.833333333333,2.962671325573951,1.5302596505084365,4.920754716981124,0.9299999999999997,5.37,5.4799999999999995,1.280818092278011,11176.967530950747,185538.37280919912,12357.277892944816,-5.1295594914067095,12727.635807284338,-3.5902155799384827,-5.1295594914067095,-2.582128445038545,3.3044045775792874,0.4359999999999996,3,0.2,expanding,Queda,Alta,Aperto com deterioração
2015-03-01,8269,7.39,6.15,105072,2.31,1.04,1.32,7207.333333333333,6.923153001681337,7128.0,5.652173913043468,6.923153001681337,4.86332198924142,0.40999999999999925,5.08,5.11,1.2977248910960808,14522.888622205943,184538.51170787553,12812.643514954267,-0.7634837674267758,12877.735284791559,-1.3958781104613016,-0.7634837674267758,-3.0198384688900015,3.3443626931585224,0.4399999999999995,3,0.2,expanding,Estavel,Estavel,Transicao/estabilidade
2015-04-01,7421,7.51,6.51,106123,2.28,0.95,0.71,7323.666666666667,8.815809023822506,7121.833333333333,5.916617093000198,8.815809023822506,4.825263241075484,0.41999999999999993,5.23,5.56,1.3069387378228632,12941.65596058891,185070.3888297503,12880.5040379152,0.7042809923502702,12738.696251260968,-1.399884309206767,0.7042809923502702,-3.093540731671862,3.2208421735716475,0.4239999999999998,3,0.2,expanding,Estavel,Estavel,Transicao/estabilidade
2015-05-01,7125,7.78,6.46,106832,2.32,0.99,0.74,7605.0,10.404064843939032,7230.5,6.011289494905059,10.404064843939032,4.530244026535679,0.4300000000000006,5.460000000000001,5.47,1.3166100844827524,12334.18167348389,184938.2872339131,13266.242085426247,2.033960723465289,12811.759989185533,-1.5510518048813537,2.033960723465289,-3.6348602319804413,3.206257482174968,0.41999999999999993,3,0.2,expanding,Estavel,Alta,Deterioracao do risco
